employee_id,leave_record_type,leave_status_name,leave_type_code,leave_type_name,leave_reason_name,leave_start_date,leave_end_date,leave_hours,calendar_days,quality_flag,leave_family,rostered_shifts_in_leave,rostered_hours_in_leave,unit_of_shifts,shift_categories,position_name,rate_grouping,role_class,occupational_group,employee_overall_job_type,agreement_family,contract_hours,fte,terms_of_employment_description,position_entry_end_date,primary_roster_unit,roster_window_start,roster_window_end,al_remaining_hours,al_booked_hours,al_excess_flag,starts_inside_roster_window,lead_days_from_2026_09_19,contract_ends_before_leave_ends
SYN009243,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2025-09-15,2026-09-13,1664.0,364,OK,UNPAID,60,480.0,SU0273,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,CASUAL,ANF,0.0,0.0,"ANF - RN, EN(MH) IND AGR",2027-06-13,SU0273,2026-06-01,2026-10-01,,,,false,-369,false
SYN001021,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2025-10-27,2026-10-25,1248.0,364,OK,UNPAID,72,432.0,SU0365,PM,Resident Medical Officer,RESIDENT MEDICAL OFFICER,MED_JUNIOR,MEDICAL,FIXED TERM,AMA,80.0,1.0,MED PRACT (DIT) IND AGR,2026-11-05,SU0365,2026-06-22,2026-10-22,,,,false,-327,false
SYN001699,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2025-11-10,2026-09-27,1748.0,322,OK,UNPAID,80,608.0,SU0121,AM,Registered Nurse,SENIOR REGISTERED NURSE L7,NURSE_SENIOR,NURSING,PERMANENT,ANF,76.0,1.0,"ANF - RN, EN(MH) IND AGR",,SU0121,2026-06-08,2026-10-09,,,,false,-313,
SYN009439,Booked Leave,Future,PE,PERSONAL LV CUMULATIVE,PERSLVE CUM SICK NO EVID,2025-12-01,2025-12-01,7.6,1,OK,PERSONAL_SICK,0,,,,Medical Officer,MEDICAL ADMINISTRATOR (NON-SPECIALIST QUALIFIED),MED_SENIOR,MEDICAL,FIXED TERM,AMA,40.0,0.5,MED PRAC (SNR FT) IND AGR,2026-11-03,SU0287,2026-05-18,2026-09-20,71.3548,34.084032,0,false,-292,false
SYN004786,Booked Leave,Future,AL,ANNUAL LEAVE,ANNUAL LEAVE,2025-12-03,2025-12-03,8.0,1,OK,ANNUAL,0,,,,Social Worker,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,,SU0078,2026-06-03,2026-08-30,130.8256,380.0,0,false,-290,
SYN007672,Booked Leave,Future,LW,LEAVE WITHOUT PAY,LEAVE WITHOUT PAY,2025-12-11,2026-12-31,836.0,386,OK,UNPAID,36,273.59999999999997,SU0036,AM,Registered Nurse,REGISTERED NURSE,NURSE_RN,NURSING,FIXED TERM,ANF,40.0,0.526,"ANF - RN, EN(MH) IND AGR",2026-12-31,SU0036,2026-06-15,2026-10-13,,,,false,-282,false
SYN005296,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-12,2027-01-10,2080.0,364,OK,OTHER,90,720.0,SU0439,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,36.0,0.474,"ANF - RN, EN(MH) IND AGR",2027-02-03,SU0439,2026-05-25,2026-09-25,,,,false,-250,false
SYN009476,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-01-12,2026-10-04,912.0,266,OK,UNPAID,54,432.0,SU0037,AM,Physiotherapist,HSU PROF DIV L1,ALLIED_PROF,MEDICAL SUPPORT,FIXED TERM,HSUWA,76.0,1.0,HSUWA PACTS IND AGMT,2026-11-15,SU0037,2026-06-01,2026-10-01,,,,false,-250,false
SYN000488,Booked Leave,Future,LW,LEAVE WITHOUT PAY,UNPAID MAT/PARENTAL LEAVE,2026-01-12,2026-12-27,1800.0,350,OK,UNPAID,72,648.0,SU0393,AM,Podiatrist,HSU PROF DIV L2,ALLIED_PROF,MEDICAL SUPPORT,PERMANENT,OTHER,45.6,0.6,HEALTH SERVICE UNION GENERAL AGREEMENT,2049-12-10,SU0393,2026-05-25,2026-09-25,,,,false,-250,false
SYN002969,Booked Leave,Future,OT,OTHER LEAVE,SPEC LVE WITHOUT PAY,2026-01-12,2027-01-03,2040.0,357,OK,OTHER,90,720.0,SU0439,AM,Clinical Nurse,CLINICAL NURSE / CLINICAL MIDWIFE / SDN,NURSE_SENIOR,NURSING,PERMANENT,ANF,80.0,1.053,"ANF - RN, EN(MH) IND AGR",,SU0439,2026-05-18,2026-09-18,,,,false,-250,
