employee_id,leave_type,start,end,expected,source,outcome,breached,pass
SYN001193,PROF_DEV,2026-09-20,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN003212,ADO,2026-09-20,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,REQ-004,true
SYN000726,TOIL,2026-09-20,2026-09-20,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN005679,ADO,2026-09-20,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,REQ-004|BAL-001,true
SYN009509,ANNUAL,2026-09-20,2026-09-20,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN009419,ANNUAL,2026-09-20,2026-09-20,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,ELG-001|NOT-001|COV-001,true
SYN000987,ANNUAL,2026-09-20,2026-10-28,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006045,ANNUAL,2026-09-20,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN001308,LONG_SERVICE,2026-09-20,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN007063,PROF_DEV,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-004,true
SYN005408,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN000707,PROF_DEV,2026-09-21,2026-09-23,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN001867,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN004643,LONG_SERVICE,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN007715,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN002778,ANNUAL,2026-09-21,2026-10-02,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN001597,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005692,PROF_DEV,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004,true
SYN005289,TOIL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,RECOMMEND_APPROVE,"",true
SYN003651,LONG_SERVICE,2026-09-21,2026-09-26,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN000999,TOIL,2026-09-21,2027-01-03,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN001379,ANNUAL,2026-09-21,2026-10-11,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000603,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN001656,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN001134,LONG_SERVICE,2026-09-21,2026-12-20,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,ELG-003|BAL-001|NOT-002,true
SYN007218,ANNUAL,2026-09-21,2026-09-27,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005608,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006156,LONG_SERVICE,2026-09-21,2027-01-03,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002|COV-001,false
SYN002934,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN000134,ANNUAL,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005793,ANNUAL,2026-09-21,2026-09-22,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN007431,ANNUAL,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001|COV-002,true
SYN004711,ANNUAL,2026-09-21,2026-09-26,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN002978,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001|COV-001,false
SYN001980,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005602,TOIL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001,true
SYN005245,ANNUAL,2026-09-21,2026-09-25,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN003763,ANNUAL,2026-09-21,2026-10-04,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN006107,ANNUAL,2026-09-21,2026-09-30,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN005841,ANNUAL,2026-09-21,2026-10-18,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
SYN003934,PROF_DEV,2026-09-21,2026-09-21,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-004|COV-002,true
SYN000553,LONG_SERVICE,2026-09-21,2026-12-24,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-002,true
SYN000726,ANNUAL,2026-09-21,2026-10-14,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,DECLINED,BAL-001|NOT-001,true
SYN001114,ANNUAL,2026-09-21,2026-09-29,NOT_DECLINED_ON_COVERAGE,booked leave in HR system,NEEDS_APPROVAL,NOT-001,true
