name,employee_id,leave_type,start,end,outcome,breached,pass,why
end before start,SYN003358,ANNUAL,2026-10-14,2026-10-10,DECLINED,REQ-001,true,""
unknown leave type,SYN003358,BOGUS,2026-10-10,2026-10-14,DECLINED,REQ-002,true,""
planned leave in the past,SYN003358,ANNUAL,2026-09-09,2026-09-11,DECLINED,NOT-001|REQ-003,true,""
sick leave today accepted,SYN003358,SICK,2026-09-19,2026-09-19,ACCEPTED,"",true,""
sick leave backdated 2 days accepted,SYN003358,SICK,2026-09-17,2026-09-19,ACCEPTED,"",true,""
carer leave 4 days needs evidence note,SYN003358,CARER,2026-09-19,2026-09-22,ACCEPTED,"",true,""
short notice annual -> manager,SYN003358,ANNUAL,2026-09-22,2026-09-23,NEEDS_APPROVAL,NOT-001,true,""
block over max length -> soft,SYN003358,ANNUAL,2026-10-19,2027-01-27,NEEDS_APPROVAL,COV-002|REQ-004,true,""
public holiday flagged,SYN003358,ANNUAL,2026-09-26,2026-09-30,NEEDS_APPROVAL,NOT-001,true,""
beyond roster -> forecast,SYN003358,ANNUAL,2027-02-01,2027-02-05,RECOMMEND_APPROVE,"",true,""
end before start,SYN002345,ANNUAL,2026-10-14,2026-10-10,DECLINED,REQ-001,true,""
unknown leave type,SYN002345,BOGUS,2026-10-10,2026-10-14,DECLINED,REQ-002,true,""
planned leave in the past,SYN002345,ANNUAL,2026-09-09,2026-09-11,DECLINED,NOT-001|REQ-003,true,""
sick leave today accepted,SYN002345,SICK,2026-09-19,2026-09-19,ACCEPTED,"",true,""
sick leave backdated 2 days accepted,SYN002345,SICK,2026-09-17,2026-09-19,ACCEPTED,BAL-001,true,""
carer leave 4 days needs evidence note,SYN002345,CARER,2026-09-19,2026-09-22,ACCEPTED,BAL-001,true,""
short notice annual -> manager,SYN002345,ANNUAL,2026-09-22,2026-09-23,NEEDS_APPROVAL,NOT-001,true,""
block over max length -> soft,SYN002345,ANNUAL,2026-10-19,2027-01-27,DECLINED,BAL-001|REQ-004,true,""
public holiday flagged,SYN002345,ANNUAL,2026-09-26,2026-09-30,NEEDS_APPROVAL,NOT-001,true,""
beyond roster -> forecast,SYN002345,ANNUAL,2027-02-01,2027-02-05,RECOMMEND_APPROVE,"",true,""
end before start,SYN000142,ANNUAL,2026-10-14,2026-10-10,DECLINED,REQ-001,true,""
unknown leave type,SYN000142,BOGUS,2026-10-10,2026-10-14,DECLINED,REQ-002,true,""
planned leave in the past,SYN000142,ANNUAL,2026-09-09,2026-09-11,DECLINED,NOT-001|REQ-003,true,""
sick leave today accepted,SYN000142,SICK,2026-09-19,2026-09-19,ACCEPTED,"",true,""
sick leave backdated 2 days accepted,SYN000142,SICK,2026-09-17,2026-09-19,ACCEPTED,BAL-001,true,""
carer leave 4 days needs evidence note,SYN000142,CARER,2026-09-19,2026-09-22,ACCEPTED,BAL-001,true,""
short notice annual -> manager,SYN000142,ANNUAL,2026-09-22,2026-09-23,NEEDS_APPROVAL,NOT-001,true,""
block over max length -> soft,SYN000142,ANNUAL,2026-10-19,2027-01-27,DECLINED,BAL-001|COV-001|REQ-004,true,""
public holiday flagged,SYN000142,ANNUAL,2026-09-26,2026-09-30,NEEDS_APPROVAL,NOT-001,true,""
beyond roster -> forecast,SYN000142,ANNUAL,2027-02-01,2027-02-05,RECOMMEND_APPROVE,"",true,""
end before start,SYN006640,ANNUAL,2026-10-14,2026-10-10,DECLINED,REQ-001,true,""
unknown leave type,SYN006640,BOGUS,2026-10-10,2026-10-14,DECLINED,REQ-002,true,""
planned leave in the past,SYN006640,ANNUAL,2026-09-09,2026-09-11,DECLINED,NOT-001|REQ-003,true,""
sick leave today accepted,SYN006640,SICK,2026-09-19,2026-09-19,ACCEPTED,"",true,""
sick leave backdated 2 days accepted,SYN006640,SICK,2026-09-17,2026-09-19,ACCEPTED,"",true,""
carer leave 4 days needs evidence note,SYN006640,CARER,2026-09-19,2026-09-22,ACCEPTED,"",true,""
short notice annual -> manager,SYN006640,ANNUAL,2026-09-22,2026-09-23,NEEDS_APPROVAL,NOT-001,true,""
block over max length -> soft,SYN006640,ANNUAL,2026-10-19,2027-01-27,NEEDS_APPROVAL,COV-002|REQ-004,true,""
public holiday flagged,SYN006640,ANNUAL,2026-09-26,2026-09-30,NEEDS_APPROVAL,NOT-001,true,""
beyond roster -> forecast,SYN006640,ANNUAL,2027-02-01,2027-02-05,RECOMMEND_APPROVE,"",true,""
end before start,SYN006780,ANNUAL,2026-10-14,2026-10-10,DECLINED,REQ-001,true,""
unknown leave type,SYN006780,BOGUS,2026-10-10,2026-10-14,DECLINED,REQ-002,true,""
planned leave in the past,SYN006780,ANNUAL,2026-09-09,2026-09-11,DECLINED,NOT-001|REQ-003,true,""
sick leave today accepted,SYN006780,SICK,2026-09-19,2026-09-19,ACCEPTED,"",true,""
sick leave backdated 2 days accepted,SYN006780,SICK,2026-09-17,2026-09-19,ACCEPTED,"",true,""
carer leave 4 days needs evidence note,SYN006780,CARER,2026-09-19,2026-09-22,ACCEPTED,"",true,""
short notice annual -> manager,SYN006780,ANNUAL,2026-09-22,2026-09-23,NEEDS_APPROVAL,NOT-001,true,""
block over max length -> soft,SYN006780,ANNUAL,2026-10-19,2027-01-27,DECLINED,BAL-001|COV-002|REQ-004,true,""
public holiday flagged,SYN006780,ANNUAL,2026-09-26,2026-09-30,NEEDS_APPROVAL,NOT-001,true,""
beyond roster -> forecast,SYN006780,ANNUAL,2027-02-01,2027-02-05,RECOMMEND_APPROVE,"",true,""
casual without balance: annual not available,SYN007142,ANNUAL,2026-10-10,2026-10-14,DECLINED,BAL-003|ELG-002,true,""
